office_name,office_title,ocd_division,description,homepage,phone,email,name,address_one,address_two,city,state,zip,start_time,end_time,start_date,end_date,appointment_one,appointment_two,appointment_three,subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,,400 N Benjamin Lane,Suite 100,Boise,ID,83704,8:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/21/16,no,no,,yes,1,"400 N Benjamin Lane, Suite 100, Boise, ID 83704",,08:00 AM - 05:00 PM,,ho10016664,false,true,,,,poll23009603
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,,400 N Benjamin Lane,Suite 100,Boise,ID,83704,8:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/28/16,no,no,,yes,2,"400 N Benjamin Lane, Suite 100, Boise, ID 83704",,08:00 AM - 05:00 PM,,ho10016664,false,true,,,,poll23009603
Ada County,County Clerk,ocd-division/country:us/state:id/county:ada,Ada County ID,adacounty.id.gov,(208) 287-6860,elections@adaweb.net,,400 N Benjamin Lane,Suite 100,Boise,ID,83704,8:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/4/16,no,no,,yes,3,"400 N Benjamin Lane, Suite 100, Boise, ID 83704",,08:00 AM - 05:00 PM,,ho10016664,false,true,,,,poll23009603
Adams County,County Clerk,ocd-division/country:us/state:id/county:adams,Adams County ID,http://www.co.adams.id.us/,(208) 253-4561,gyoung@co.adams.id.us,Adams County Courthouse,201 Industrial Ave,,Council,ID,83612,8:00:00 - 06:00,17:00:00 - 06:00,9/23/16,9/23/16,no,no,,yes,4,"Adams County Courthouse, 201 Industrial Ave, Council, ID 83612",,08:00 AM - 05:00 PM,,ho9226867,false,true,,,,poll83397665
Adams County,County Clerk,ocd-division/country:us/state:id/county:adams,Adams County ID,http://www.co.adams.id.us/,(208) 253-4561,gyoung@co.adams.id.us,Adams County Courthouse,201 Industrial Ave,,Council,ID,83612,8:00:00 - 06:00,17:00:00 - 06:00,9/26/16,9/30/16,no,no,,,5,"Adams County Courthouse, 201 Industrial Ave, Council, ID 83612",,08:00 AM - 05:00 PM,,ho9226867,false,true,,,,poll83397665
Adams County,County Clerk,ocd-division/country:us/state:id/county:adams,Adams County ID,http://www.co.adams.id.us/,(208) 253-4561,gyoung@co.adams.id.us,Adams County Courthouse,201 Industrial Ave,,Council,ID,83612,8:00:00 - 06:00,17:00:00 - 06:00,10/3/16,10/7/16,no,no,,,6,"Adams County Courthouse, 201 Industrial Ave, Council, ID 83612",,08:00 AM - 05:00 PM,,ho9226867,false,true,,,,poll83397665
Adams County,County Clerk,ocd-division/country:us/state:id/county:adams,Adams County ID,http://www.co.adams.id.us/,(208) 253-4561,gyoung@co.adams.id.us,Adams County Courthouse,201 Industrial Ave,,Council,ID,83612,8:00:00 - 06:00,17:00:00 - 06:00,10/11/16,10/14/16,no,no,,,7,"Adams County Courthouse, 201 Industrial Ave, Council, ID 83612",,08:00 AM - 05:00 PM,,ho9226867,false,true,,,,poll83397665
Adams County,County Clerk,ocd-division/country:us/state:id/county:adams,Adams County ID,http://www.co.adams.id.us/,(208) 253-4561,gyoung@co.adams.id.us,Adams County Courthouse,201 Industrial Ave,,Council,ID,83612,8:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/21/16,no,no,,,8,"Adams County Courthouse, 201 Industrial Ave, Council, ID 83612",,08:00 AM - 05:00 PM,,ho9226867,false,true,,,,poll83397665
Adams County,County Clerk,ocd-division/country:us/state:id/county:adams,Adams County ID,http://www.co.adams.id.us/,(208) 253-4561,gyoung@co.adams.id.us,Adams County Courthouse,201 Industrial Ave,,Council,ID,83612,8:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/28/16,no,no,,,9,"Adams County Courthouse, 201 Industrial Ave, Council, ID 83612",,08:00 AM - 05:00 PM,,ho9226867,false,true,,,,poll83397665
Adams County,County Clerk,ocd-division/country:us/state:id/county:adams,Adams County ID,http://www.co.adams.id.us/,(208) 253-4561,gyoung@co.adams.id.us,Adams County Courthouse,201 Industrial Ave,,Council,ID,83612,8:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/4/16,no,no,,,10,"Adams County Courthouse, 201 Industrial Ave, Council, ID 83612",,08:00 AM - 05:00 PM,,ho9226867,false,true,,,,poll83397665
Bannock County,County Clerk,ocd-division/country:us/state:id/county:bannock,Bannock County ID,http://www.co.bannock.id.us/,(208) 236-7329,julieh@bannockcounty.us,,141 N. 6th,,Pocatello,ID,83201,9:00:00 - 06:00,17:00:00 - 06:00,11/4/16,11/4/16,no,no,,,11,"141 N. 6th, Pocatello, ID 83201",,09:00 AM - 05:00 PM,,ho98137561,false,true,,,,poll7680323
Bannock County,County Clerk,ocd-division/country:us/state:id/county:bannock,Bannock County ID,http://www.co.bannock.id.us/,(208) 236-7329,julieh@bannockcounty.us,,141 N. 6th,,Pocatello,ID,83201,8:00:00 - 06:00,16:30:00 - 06:00,9/26/16,9/30/16,no,no,,,12,"141 N. 6th, Pocatello, ID 83201",,08:00 AM - 04:30 PM,,ho98137561,false,true,,,,poll7680323
Bannock County,County Clerk,ocd-division/country:us/state:id/county:bannock,Bannock County ID,http://www.co.bannock.id.us/,(208) 236-7329,julieh@bannockcounty.us,,141 N. 6th,,Pocatello,ID,83201,8:00:00 - 06:00,16:30:00 - 06:00,10/3/16,10/7/16,no,no,,,13,"141 N. 6th, Pocatello, ID 83201",,08:00 AM - 04:30 PM,,ho98137561,false,true,,,,poll7680323
Bannock County,County Clerk,ocd-division/country:us/state:id/county:bannock,Bannock County ID,http://www.co.bannock.id.us/,(208) 236-7329,julieh@bannockcounty.us,,141 N. 6th,,Pocatello,ID,83201,8:00:00 - 06:00,16:30:00 - 06:00,10/11/16,10/14/16,no,no,,,14,"141 N. 6th, Pocatello, ID 83201",,08:00 AM - 04:30 PM,,ho98137561,false,true,,,,poll7680323
Bannock County,County Clerk,ocd-division/country:us/state:id/county:bannock,Bannock County ID,http://www.co.bannock.id.us/,(208) 236-7329,julieh@bannockcounty.us,,141 N. 6th,,Pocatello,ID,83201,8:00:00 - 06:00,16:30:00 - 06:00,10/17/16,10/21/16,no,no,,,15,"141 N. 6th, Pocatello, ID 83201",,08:00 AM - 04:30 PM,,ho98137561,false,true,,,,poll7680323
