start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho30262915,sch0001
08:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-04,ho30262915,sch0002
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho84578413,sch0003
07:00:00-05:00,19:00:00-05:00,,,,2016-10-29,2016-10-29,ho84578413,sch0004
12:00:00-05:00,17:00:00-05:00,,,,2016-10-30,2016-10-30,ho84578413,sch0005
07:00:00-05:00,19:00:00-05:00,,,,2016-10-31,2016-11-04,ho84578413,sch0006
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-03,ho59036376,sch0007
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-03,ho96207730,sch0008
08:00:00-05:00,16:30:00-05:00,,,,2016-10-31,2016-11-03,ho18554257,sch0009
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-29,ho72742857,sch0010
07:00:00-05:00,19:00:00-05:00,,,,2016-10-31,2016-10-31,ho72742857,sch0011
08:00:00-05:00,17:00:00-05:00,,,,2016-11-01,2016-11-01,ho72742857,sch0012
07:00:00-05:00,19:00:00-05:00,,,,2016-11-02,2016-11-02,ho72742857,sch0013
08:00:00-05:00,17:00:00-05:00,,,,2016-11-03,2016-11-03,ho72742857,sch0014
07:00:00-05:00,19:00:00-05:00,,,,2016-11-04,2016-11-04,ho72742857,sch0015
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-10-28,ho59325977,sch0016
08:00:00-05:00,17:00:00-05:00,,,,2016-10-31,2016-11-02,ho59325977,sch0017
08:00:00-05:00,18:00:00-05:00,,,,2016-11-03,2016-11-03,ho59325977,sch0018
08:00:00-05:00,17:00:00-05:00,,,,2016-11-04,2016-11-04,ho59325977,sch0019
07:30:00-05:00,17:30:00-05:00,,,,2016-10-24,2016-10-29,ho77358686,sch0020
07:30:00-05:00,17:30:00-05:00,,,,2016-10-24,2016-10-29,ho56539614,sch0021
07:30:00-05:00,17:30:00-05:00,,,,2016-10-24,2016-10-29,ho26954968,sch0022
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-11-02,ho78249750,sch0023
07:00:00-05:00,19:00:00-05:00,,,,2016-11-03,2016-11-04,ho78249750,sch0024
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-11-02,ho39091929,sch0025
07:00:00-05:00,19:00:00-05:00,,,,2016-11-03,2016-11-04,ho39091929,sch0026
08:00:00-05:00,17:00:00-05:00,,,,2016-10-24,2016-11-02,ho5676506,sch0027
07:00:00-05:00,19:00:00-05:00,,,,2016-11-03,2016-11-04,ho5676506,sch0028
