office_name,ocd_division,homepage_url,phone,email,directions,location_name,address1,address2,city,state,zip_code,start_time,end_time,start_date,end_date,index,address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Andrews County,ocd-division/country:us/state:tx/county:andrews,http://www.co.andrews.tx.us/departemnts/county_clerk.php,(432) 524-1463,gmendoza@co.andrews.tx.us,,,855 E State Hwy 176,,Andrews,TX,79714,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,10-28-2016,1,"855 E State Hwy 176, Andrews, TX , 79714",08:00 AM-05:00 PM,,ho99085220,false,true,,,,poll19855674
Andrews County,ocd-division/country:us/state:tx/county:andrews,http://www.co.andrews.tx.us/departemnts/county_clerk.php,(432) 524-1463,gmendoza@co.andrews.tx.us,,,855 E State Hwy 176,,Andrews,TX,79714,08:00:00 - 05:00,17:00:00 - 05:00,10-31-2016,11-04-2016,2,"855 E State Hwy 176, Andrews, TX , 79714",08:00 AM-05:00 PM,,ho99085220,false,true,,,,poll19855674
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,606 E. Lufkin Ave,,Lufkin,TX,75902,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,10-28-2016,3,"606 E. Lufkin Ave, Lufkin, TX , 75902",08:00 AM-05:00 PM,,ho31499214,false,true,,,,poll38610959
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,606 E. Lufkin Ave,,Lufkin,TX,75902,07:00:00 - 05:00,19:00:00 - 05:00,10-29-2016,10-29-2016,4,"606 E. Lufkin Ave, Lufkin, TX , 75902",07:00 AM-07:00 PM,,ho31499214,false,true,,,,poll38610959
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,606 E. Lufkin Ave,,Lufkin,TX,75902,12:00:00 - 05:00,17:00:00 - 05:00,10-30-2016,10-30-2016,5,"606 E. Lufkin Ave, Lufkin, TX , 75902",12:00 PM-05:00 PM,,ho31499214,false,true,,,,poll38610959
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,606 E. Lufkin Ave,,Lufkin,TX,75902,07:00:00 - 05:00,19:00:00 - 05:00,10-31-2016,11-04-2016,6,"606 E. Lufkin Ave, Lufkin, TX , 75902",07:00 AM-07:00 PM,,ho31499214,false,true,,,,poll38610959
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,400 Kenley St,,Diboll,TX,75941,08:00:00 - 05:00,16:30:00 - 05:00,10-31-2016,11-03-2016,7,"400 Kenley St, Diboll, TX , 75941",08:00 AM-04:30 PM,,ho31958093,false,true,,,,poll55066736
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,838 E Main St,,Zavalla,TX,75980,08:00:00 - 05:00,16:30:00 - 05:00,10-31-2016,11-03-2016,8,"838 E Main St, Zavalla, TX , 75980",08:00 AM-04:30 PM,,ho22630064,false,true,,,,poll4379487
Angelina County,ocd-division/country:us/state:tx/county:angelina,http://www.angelinacounty.net/departments/tax,(936) 671-5117,elections@angelinacounty.net,,,1179 HWY 69,,N Huntington,TX,75949,08:00:00 - 05:00,16:30:00 - 05:00,10-31-2016,11-03-2016,9,"1179 HWY 69, N Huntington, TX , 75949",08:00 AM-04:30 PM,,ho38051614,false,true,,,,poll58044960
Aransas County,ocd-division/country:us/state:tx/county:aransas,http://www.aransascountytx.gov/electionadmin/,(361) 729-7431,elections@aransascounty.org,,,602 East Concho,,Rockport,TX,78382,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,10-29-2016,10,"602 East Concho, Rockport, TX , 78382",08:00 AM-05:00 PM,,ho90620631,false,true,,,,poll29537343
