address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"855 E State Hwy 176, Andrews, TX 79714",,08:00 AM-05:00 PM,,ho30262915,false,true,,,,poll2942621
"606 E. Lufkin Ave, Lufkin, TX 75902",,08:00 AM-05:00 PM,,ho84578413,false,true,,,,poll45638819
"400 Kenley St, Diboll , TX 75941",,08:00 AM-04:30 PM,,ho59036376,false,true,,,,poll93158181
"838 E Main St, Zavalla, TX 75980",,08:00 AM-04:30 PM,,ho96207730,false,true,,,,poll5341860
"1179 HWY 69, N Huntington, TX 75949",,08:00 AM-04:30 PM,,ho18554257,false,true,,,,poll85112481
"602 East Concho, Rockport, TX 78382",,08:00 AM-05:00 PM,,ho72742857,false,true,,,,poll31023671
"300 South First St., Ste 200, Muleshoe, TX 79347",,08:00 AM-05:00 PM,,ho59325977,false,true,,,,poll17656682
"403 12th Street, Bandera, TX 78003",,07:30 AM-05:30 PM,,ho77358686,false,true,,,,poll33510333
"161 E.Parker St., Medina, TX 78055",,07:30 AM-05:30 PM,,ho56539614,false,true,,,,poll83934015
"7200 F.M. 1283, Lakehills, TX 78063",,07:30 AM-05:30 PM,,ho26954968,false,true,,,,poll84234496
"804 Pecan, Bastrop, TX 78602",,08:00 AM-05:00 PM,,ho78249750,false,true,,,,poll82505353
"317 Main St., Smithville, TX 78957",,08:00 AM-05:00 PM,,ho39091929,false,true,,,,poll49051113
"5630 FM535, Cedar Creek, TX 78612",,08:00 AM-05:00 PM,,ho5676506,false,true,,,,poll10016583
"404 N. Main St., Elgin, TX 78621",,08:00 AM-05:00 PM,,ho64191189,false,true,,,,poll26631458
"1103 S. Frio Street, Ste 100, San Antonio, TX 78207",,08:00 AM-06:00 PM,,ho47776864,false,true,,,,poll32676261
"110 Tuleta Dr, San Antonio, TX 78212",,08:00 AM-06:00 PM,,ho94108680,false,true,,,,poll36512839
"530 Heimer Rd, San Antonio, TX 78232",,08:00 AM-06:00 PM,,ho41312139,false,true,,,,poll24834662
"209 Lemonwood Dr, Castle Hills, TX 78213",,08:00 AM-06:00 PM,,ho66743249,false,true,,,,poll79123777
"2805 E Commerce St, San Antonio, TX 78202",,08:00 AM-06:00 PM,,ho89363800,false,true,,,,poll19104874
"11441 Vance Jackson Rd, San Antonio, TX 78230",,08:00 AM-06:00 PM,,ho53242525,false,true,,,,poll87402763
"200 N Park Blvd, San Antonio, TX 78204",,08:00 AM-06:00 PM,,ho87176539,false,true,,,,poll84846220
"405 S Seguin Rd, Converse, TX 78109",,08:00 AM-06:00 PM,,ho31352813,false,true,,,,poll67428784
"5003 Lord Rd, San Antonio, TX 78220",,08:00 AM-06:00 PM,,ho50419958,false,true,,,,poll87767356
"6634 New Sulphur Springs Rd, San Antonio, TX 78263",,08:00 AM-06:00 PM,,ho78402491,false,true,,,,poll25771324
"2515 E Evans Rd, San Antonio, TX 78259",,08:00 AM-06:00 PM,,ho76485382,false,true,,,,poll72906404
"7286 Dietz Elkhorn Rd, Boerne, TX 78015",,08:00 AM-06:00 PM,,ho70455698,false,true,,,,poll32951380
"9050 Wellwood St, San Antonio, TX 78250",,08:00 AM-06:00 PM,,ho56361412,false,true,,,,poll87597644
"7978 W Military Dr, San Antonio, TX 78227",,08:00 AM-06:00 PM,,ho74856380,false,true,,,,poll37029254
"13330 Kyle Seale Pkwy, San Antonio, TX 78249",,08:00 AM-06:00 PM,,ho94233755,false,true,,,,poll53069165
"6307 Sun Valley Dr, San Antonio, TX 78227",,08:00 AM-06:00 PM,,ho61412857,false,true,,,,poll65821488
"15060 Judson Rd, San Antonio, TX 78247",,08:00 AM-06:00 PM,,ho14962723,false,true,,,,poll45504642
