office_name,office_title,types,ocd_division,description,homepage,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Adams County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:adams,Adams County NE,http://www.adamscounty.org/index.php/9-uncategorised/80-clerk,(402) 461-7107,rthomas@adamscounty.org,"500 W 4th Street, Room 109",Hastings,NE,68902,09:00:00 - 05:00,17:00:00 - 05:00,10/11/16,10/14/16,1,"500 W 4th Street, Room 109 Hastings, NE 68902",,09:00 AM - 05:00 PM,,ho96157166,false,true,,,,poll81186445
Adams County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:adams,Adams County NE,http://www.adamscounty.org/index.php/9-uncategorised/80-clerk,(402) 461-7107,rthomas@adamscounty.org,"500 W 4th Street, Room 109",Hastings,NE,68902,09:00:00 - 05:00,17:00:00 - 05:00,10/17/16,10/21/16,2,"500 W 4th Street, Room 109 Hastings, NE 68902",,09:00 AM - 05:00 PM,,ho96157166,false,true,,,,poll81186445
Adams County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:adams,Adams County NE,http://www.adamscounty.org/index.php/9-uncategorised/80-clerk,(402) 461-7107,rthomas@adamscounty.org,"500 W 4th Street, Room 109",Hastings,NE,68902,09:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,3,"500 W 4th Street, Room 109 Hastings, NE 68902",,09:00 AM - 05:00 PM,,ho96157166,false,true,,,,poll81186445
Adams County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:adams,Adams County NE,http://www.adamscounty.org/index.php/9-uncategorised/80-clerk,(402) 461-7107,rthomas@adamscounty.org,"500 W 4th Street, Room 109",Hastings,NE,68902,09:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,4,"500 W 4th Street, Room 109 Hastings, NE 68902",,09:00 AM - 05:00 PM,,ho96157166,false,true,,,,poll81186445
Adams County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:adams,Adams County NE,http://www.adamscounty.org/index.php/9-uncategorised/80-clerk,(402) 461-7107,rthomas@adamscounty.org,"500 W 4th Street, Room 109",Hastings,NE,68902,09:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,5,"500 W 4th Street, Room 109 Hastings, NE 68902",,09:00 AM - 05:00 PM,,ho96157166,false,true,,,,poll81186445
Antelope County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:antelope,Antelope County NE,https://antelopecounty.nebraska.gov/county-election-commissioner,(402) 887-4410,antelopeclerk@frontiernet.net,501 Main Street,Neligh,NE,68756,08:00:00 - 05:00,16:30:00 - 05:00,10/11/16,10/14/16,6,"501 Main Street Neligh, NE 68756",,08:00 AM - 04:30 PM,,ho90452296,false,true,,,,poll86597320
Antelope County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:antelope,Antelope County NE,https://antelopecounty.nebraska.gov/county-election-commissioner,(402) 887-4410,antelopeclerk@frontiernet.net,501 Main Street,Neligh,NE,68756,08:00:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,7,"501 Main Street Neligh, NE 68756",,08:00 AM - 04:30 PM,,ho90452296,false,true,,,,poll86597320
Antelope County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:antelope,Antelope County NE,https://antelopecounty.nebraska.gov/county-election-commissioner,(402) 887-4410,antelopeclerk@frontiernet.net,501 Main Street,Neligh,NE,68756,08:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,8,"501 Main Street Neligh, NE 68756",,08:00 AM - 04:30 PM,,ho90452296,false,true,,,,poll86597320
Antelope County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:antelope,Antelope County NE,https://antelopecounty.nebraska.gov/county-election-commissioner,(402) 887-4410,antelopeclerk@frontiernet.net,501 Main Street,Neligh,NE,68756,08:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,9,"501 Main Street Neligh, NE 68756",,08:00 AM - 04:30 PM,,ho90452296,false,true,,,,poll86597320
Antelope County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:antelope,Antelope County NE,https://antelopecounty.nebraska.gov/county-election-commissioner,(402) 887-4410,antelopeclerk@frontiernet.net,501 Main Street,Neligh,NE,68756,08:00:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,10,"501 Main Street Neligh, NE 68756",,08:00 AM - 04:30 PM,,ho90452296,false,true,,,,poll86597320
