start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
09:00:00-07:00,17:00:00-07:00,,,,2016-09-23,2016-09-23,ho64748867,sch0001
09:00:00-07:00,17:00:00-07:00,,,,2016-09-26,2016-09-30,ho64748867,sch0002
09:00:00-07:00,17:00:00-07:00,,,,2016-10-03,2016-10-07,ho64748867,sch0003
09:00:00-07:00,17:00:00-07:00,,,,2016-10-11,2016-10-14,ho64748867,sch0004
08:00:00-07:00,12:00:00-07:00,,,,2016-10-15,2016-10-15,ho64748867,sch0005
09:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho64748867,sch0006
09:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho64748867,sch0007
08:00:00-07:00,12:00:00-07:00,,,,2016-10-29,2016-10-29,ho64748867,sch0008
09:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho64748867,sch0009
08:00:00-07:00,12:00:00-07:00,,,,2016-11-05,2016-11-05,ho64748867,sch0010
09:00:00-07:00,17:00:00-07:00,,,,2016-11-07,2016-11-07,ho64748867,sch0011
08:00:00-07:00,17:00:00-07:00,,,,2016-09-23,2016-09-23,ho90801537,sch0012
08:00:00-07:00,17:00:00-07:00,,,,2016-09-26,2016-09-30,ho90801537,sch0013
08:00:00-07:00,17:00:00-07:00,,,,2016-10-03,2016-10-07,ho90801537,sch0014
08:00:00-07:00,17:00:00-07:00,,,,2016-10-11,2016-10-14,ho90801537,sch0015
08:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho90801537,sch0016
08:00:00-07:00,17:00:00-07:00,,,,2016-10-24,2016-10-28,ho90801537,sch0017
08:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho90801537,sch0018
08:00:00-07:00,17:00:00-07:00,,,,2016-11-07,2016-11-07,ho90801537,sch0019
08:00:00-07:00,17:00:00-07:00,,,,2016-09-23,2016-09-23,ho91692901,sch0020
08:00:00-07:00,17:00:00-07:00,,,,2016-09-26,2016-09-30,ho91692901,sch0021
08:00:00-07:00,17:00:00-07:00,,,,2016-10-03,2016-10-07,ho91692901,sch0022
08:00:00-07:00,17:00:00-07:00,,,,2016-10-11,2016-10-14,ho91692901,sch0023
08:00:00-07:00,17:00:00-07:00,,,,2016-10-17,2016-10-21,ho91692901,sch0024
