ocd-division,County,Location Name,Address 1,Address 2,City,State,Zip,start_time,end_time,start_date,end_date
ocd-division/country:us/state:georgia/county:appling,Appling County,Appling County Board of Registration, 69 Tippins Street,Suite 205,Baxley,GA,31513,08:30:00 - 04:00,17:00:00 - 04:00,10-17-16,10-21-16
ocd-division/country:us/state:georgia/county:appling,Appling County,Appling County Board of Registration, 69 Tippins Street,Suite 205,Baxley,GA,31513,08:30:00 - 04:00,17:00:00 - 04:00,10-24-16,10-28-16
ocd-division/country:us/state:georgia/county:appling,Appling County,Appling County Board of Registration, 69 Tippins Street,Suite 205,Baxley,GA,31513,09:00:00 - 04:00,16:00:00 - 04:00,10-29-16,10-29-16
ocd-division/country:us/state:georgia/county:appling,Appling County,Appling County Board of Registration, 69 Tippins Street,Suite 205,Baxley,GA,31513,08:30:00 - 04:00,17:00:00 - 04:00,10-31-16,11-04-16
ocd-division/country:us/state:georgia/county:bacon,Bacon County,,232 West 12th Street,,Alma,GA,31510,09:00:00 - 04:00,17:00:00 - 04:00,10-17-16,10-21-16
ocd-division/country:us/state:georgia/county:bacon,Bacon County,,232 West 12th Street,,Alma,GA,31510,09:00:00 - 04:00,17:00:00 - 04:00,10-24-16,10-28-16
ocd-division/country:us/state:georgia/county:bacon,Bacon County,,232 West 12th Street,,Alma,GA,31510,09:00:00 - 04:00,16:00:00 - 04:00,10-29-16,10-29-16
ocd-division/country:us/state:georgia/county:bacon,Bacon County,,232 West 12th Street,,Alma,GA,31510,09:00:00 - 04:00,17:00:00 - 04:00,10-31-16,11-04-16
ocd-division/country:us/state:georgia/county:baldwin,Baldwin County,,121 N Wilkinson St, Ste 104,Milledgeville,GA,31061,08:30:00 - 04:00,17:00:00 - 04:00,10-17-16,10-21-16
ocd-division/country:us/state:georgia/county:baldwin,Baldwin County,,121 N Wilkinson St, Ste 104,Milledgeville,GA,31061,08:30:00 - 04:00,17:00:00 - 04:00,10-24-16,10-28-16
ocd-division/country:us/state:georgia/county:baldwin,Baldwin County,,121 N Wilkinson St, Ste 104,Milledgeville,GA,31061,09:00:00 - 04:00,16:00:00 - 04:00,10-29-16,10-29-16
ocd-division/country:us/state:georgia/county:baldwin,Baldwin County,,121 N Wilkinson St, Ste 104,Milledgeville,GA,31061,08:30:00 - 04:00,17:00:00 - 04:00,10-31-16,11-04-16
ocd-division/country:us/state:georgia/county:banks,Banks County,Banks County Registrar's Office, 226 Candler Street,,Homer,GA,30547,08:00:00 - 04:00,17:00:00 - 04:00,10-17-16,10-21-16
ocd-division/country:us/state:georgia/county:banks,Banks County,Banks County Registrar's Office, 226 Candler Street,,Homer,GA,30547,08:00:00 - 04:00,17:00:00 - 04:00,10-24-16,10-28-16
ocd-division/country:us/state:georgia/county:banks,Banks County,Banks County Registrar's Office, 226 Candler Street,,Homer,GA,30547,09:00:00 - 04:00,16:00:00 - 04:00,10-29-16,10-29-16
ocd-division/country:us/state:georgia/county:banks,Banks County,Banks County Registrar's Office, 226 Candler Street,,Homer,GA,30547,08:00:00 - 04:00,17:00:00 - 04:00,10-31-16,11-04-16
ocd-division/country:us/state:georgia/county:barrow,Barrow County,Barrow County Elections Office,233 East Broad Street, Ground Floor,Winder,GA,30680,08:00:00 - 04:00,17:00:00 - 04:00,10-17-16,10-21-16
ocd-division/country:us/state:georgia/county:barrow,Barrow County,Barrow County Elections Office,233 East Broad Street, Ground Floor,Winder,GA,30680,08:00:00 - 04:00,17:00:00 - 04:00,10-24-16,10-28-16
ocd-division/country:us/state:georgia/county:barrow,Barrow County,Barrow County Elections Office,233 East Broad Street, Ground Floor,Winder,GA,30680,09:00:00 - 04:00,16:00:00 - 04:00,10-29-16,10-29-16
ocd-division/country:us/state:georgia/county:barrow,Barrow County,Barrow County Elections Office,233 East Broad Street, Ground Floor,Winder,GA,30680,08:00:00 - 04:00,17:00:00 - 04:00,10-31-16,11-04-16
ocd-division/country:us/state:georgia/county:ben_hill,Ben HIll County,Ben Hill Elections Office, 115 W Pine Street,,Fitzgerald,GA,31750,07:30:00 - 04:00,15:45:00 - 04:00,10-17-16,10-21-16
